"config_id","exposed_events","unexposed_events","beta_sas","beta_logistf","se_sas","se_logistf","low_sas","high_sas","low_logistf","high_logistf","exact_beta","ordinary_se","augmented_se","different","ordinary_outside","augmented_outside"
"n50_9.16.3.22",9,3,1.30880985409426,1.30868375841496,0.718240078025961,0.704292494312971,-0.0989148310898591,2.71653453927838,-0.0717041650203427,2.68907168185027,1.30868375841497,0.718240256881991,0.704292516401763,FALSE,FALSE,FALSE
"n50_10.15.3.22",10,3,1.47149730516009,1.47128757395328,0.713810326234958,0.699937799539834,0.072454773946784,2.87053983637339,0.0994346954369878,2.84314045246957,1.47128757395328,0.713799322363258,0.699937821830685,FALSE,TRUE,TRUE
"n50_11.14.3.22",11,3,1.62925969081222,1.62895072665768,0.711027226157653,0.697194907995888,0.235671935515803,3.02284744610863,0.26247381678102,2.99542763653433,1.62895072665768,0.71100210963457,0.697194929083137,FALSE,TRUE,TRUE
"n50_12.13.3.22",12,3,1.78377467686958,1.78379129957887,0.709647639931092,0.695868360649342,0.39289086089079,3.17465849284837,0.419914374725234,3.14766822443251,1.78379129957888,0.709649291130567,0.695868381400394,FALSE,TRUE,TRUE
"n50_13.12.3.22",13,3,1.93769261096469,1.93771338185113,0.709646958255451,0.695868359594505,0.546810131045609,3.32857509088378,0.573836459064931,3.30159030463733,1.93771338185114,0.709649291130567,0.695868381400394,FALSE,TRUE,TRUE
"n50_14.11.3.22",14,3,2.09252953684698,2.092553954771,0.710999103056086,0.697194846542077,0.698996901816766,3.48606217187719,0.7260771653416,3.4590307442004,2.09255395477233,0.71100210963457,0.697194929083137,FALSE,TRUE,TRUE
"n50_15.10.3.22",15,3,2.25018990740198,2.25021710747673,0.71379569575554,0.699937821829369,0.851176051401406,3.64920376340254,0.878364185273754,3.62207002967971,2.25021710747673,0.713799322363258,0.699937821830685,FALSE,TRUE,TRUE
"n50_16.9.3.22",16,3,2.41279210212205,2.41282092301505,0.718236111028055,0.704292516385265,1.00507519211095,3.82050901213315,1.03243295631884,3.79320888971125,2.41282092301505,0.718240256881991,0.704292516401763,FALSE,TRUE,TRUE
"n50_17.8.3.22",17,3,2.58285794049209,2.5828870581482,0.724665471975371,0.710597386759691,1.16253971458064,4.00317616640353,1.19014177259093,3.97563234370548,2.5828870581482,0.724669988318905,0.710597386798683,FALSE,TRUE,TRUE
"n50_18.7.3.22",18,3,2.76359183386548,2.76362005225702,0.733649146312411,0.719406781684484,1.3256659298046,4.20151773792636,1.35360866992156,4.17363143459248,2.76362005225702,0.733653843612887,0.719406781693165,FALSE,TRUE,TRUE
"n50_19.6.3.22",19,3,2.95933768129806,2.95936462938307,0.746117556354169,0.731633013133302,1.49697414261085,4.42170121998526,1.52539027374128,4.39333898502486,2.95936462938312,0.746122250504844,0.73163306054807,FALSE,TRUE,TRUE
"n50_20.5.3.22",20,3,3.17640133811476,3.17642913461875,0.763662565123455,0.748837101393592,1.67965021413132,4.67315246209821,1.70873538559994,4.64412288363756,3.17642913462094,0.76366726771092,0.748837365375013,FALSE,TRUE,TRUE
"n50_21.4.3.22",21,3,3.42469133671236,3.42472787907235,0.789201845804429,0.773881502260495,1.87788414240314,4.97149853102157,1.90794800634003,4.94150775180467,3.42472787907235,0.789207376739122,0.773881502743107,FALSE,TRUE,TRUE
"n50_22.3.3.22",22,3,3.72144473925315,3.72150468143001,0.828682760914966,0.812599195194157,2.0972563732506,5.3456331052557,2.12883952498323,5.31416983787679,3.72150468143001,0.82869183580518,0.812599200293392,FALSE,TRUE,TRUE
"n50_23.2.3.22",23,3,4.10141100290014,4.10146202999096,0.896440157054198,0.87904034051017,2.34442058077848,5.8584014250218,2.37857462163321,5.82434943834872,4.10146202999096,0.896448770713651,0.879040341308686,FALSE,TRUE,TRUE
"n50_24.1.3.22",24,3,4.65393966519607,4.65396035015749,1.0388134997299,1.0186469109046,2.61790261907145,6.68997671132069,2.6574490918215,6.65047160849348,4.65396035015752,1.03882019247329,1.01864700625683,FALSE,TRUE,TRUE
"n50_25.0.3.22",25,3,5.79255018454947,5.79257797343933,1.56974290834322,1.53927722895676,2.7159106192096,8.86918974988935,2.77565004246147,8.80950590441719,5.79257797343933,1.56976093501226,1.53927723832753,FALSE,TRUE,TRUE
"n50_0.25.4.21",0,4,-2.36822985493094,-2.36785009436636,1.54952101759555,1.51919297877485,-5.40523524270607,0.668775532844184,-5.34541361833119,0.609713429598463,-2.36785009436698,1.54927967709509,1.51919371260011,FALSE,FALSE,FALSE
"n50_1.24.4.21",1,4,-1.22945400472267,-1.22923247108516,1.00766934448724,0.98803679843205,-3.20444962824275,0.74554161879741,-3.16574901141223,0.707284069241923,-1.22923247108517,1.00760384926792,0.988036863343913,FALSE,FALSE,FALSE
"n50_2.23.4.21",2,4,-0.676743573123442,-0.676734150918615,0.860067689651624,0.843378350207707,-2.3624452691072,1.00895812286031,-2.32972534266653,0.976257040829298,-0.676734150918615,0.860080533021939,0.84337835021926,FALSE,FALSE,FALSE
"n50_3.22.4.21",3,4,-0.296791509659452,-0.296776802357658,0.789204655260412,0.773881484083422,-1.84360421040121,1.2500211910823,-1.81355663946357,1.22000303474826,-0.296776802357664,0.789207376739122,0.773881502743107,FALSE,FALSE,FALSE
