"config_id","exposed_events","unexposed_events","before_different","after_different","sas_wald_low","sas_wald_high","sas_pl_low","sas_pl_high","logistf_pl_low","logistf_pl_high","before_delta","after_delta"
"n50_22.3.9.16",22,9,FALSE,FALSE,1.00507519211095,3.82050901213315,1.12233201779101,3.93722195362357,1.1223321016055,3.93722182715673,0.117256909494551,1.26466840111306e-07
"n50_23.2.9.16",23,9,FALSE,FALSE,1.23367319687275,4.3517905818299,1.39984991503877,4.55450535680699,1.39984992706676,4.55450521135771,0.202714629527819,1.45449280175569e-07
"n50_24.1.9.16",24,9,FALSE,FALSE,1.47744682994961,5.21373366699935,1.75810796344518,5.64900789938257,1.7581123752796,5.64900758095727,0.435273913957917,4.41183442023707e-06
"n50_25.0.9.16",25,9,FALSE,FALSE,1.51565523421558,7.45305613460886,2.31963584046139,9.36850472240307,2.31965065732567,9.36850258242092,1.91544644781206,1.48168642786217e-05
"n50_0.25.10.15",0,10,FALSE,FALSE,-6.50650156448779,-0.57836422009048,-8.42494612444767,-1.37458160237815,-8.42494555615491,-1.37461828708266,1.91844399166712,3.66847045107921e-05
"n50_1.24.10.15",1,10,FALSE,FALSE,-4.26513739721592,-0.542365503770196,-4.69992592272247,-0.809808536979135,-4.69992580573576,-0.809815906444969,0.434788408519848,7.36946583357323e-06
"n50_2.23.10.15",2,10,FALSE,FALSE,-3.40242350533774,-0.300002660221714,-3.59988216951278,-0.449403929539927,-3.59988214316392,-0.44940405557857,0.19745863782618,1.26038642689341e-07
"n50_3.22.10.15",3,10,FALSE,FALSE,-2.87053983637339,-0.0724547739467847,-2.97772926027821,-0.170330433696569,-2.97772908112293,-0.170330529586376,0.107189244749544,1.79155277280074e-07
"n50_4.21.10.15",4,10,FALSE,FALSE,-2.48292495505526,0.133802507702155,-2.5449935286122,0.0641202566446877,-2.54499327232221,0.0641200245349147,0.0696824831672403,2.5628999278382e-07
"n50_5.20.10.15",5,10,FALSE,FALSE,-2.1750278118072,0.322550794117237,-2.21061417933105,0.2706360167173,-2.21061389671234,0.270635738525961,0.0519150555912754,2.82618705771398e-07
"n50_6.19.10.15",6,10,FALSE,FALSE,-1.9165413059242,0.498192332359744,-1.935049913981,0.458452466921878,-1.93504964545861,0.458452200419442,0.0397401319403028,2.68522381441372e-07
"n50_7.18.10.15",7,10,FALSE,FALSE,-1.69108175489364,0.664224620583936,-1.69778066269192,0.633358936005666,-1.69778042926044,0.633358705179124,0.030865915404812,2.33431473040113e-07
"n50_8.17.10.15",8,10,FALSE,FALSE,-1.4887785053484,0.823399769359828,-1.48682730714147,0.799338369570337,-1.48682711736605,0.799338182121567,0.024061587238261,1.89775416936655e-07
"n50_9.16.10.15",9,10,FALSE,FALSE,-1.30292111385109,0.978223825384865,-1.29456433045536,0.959355870198927,-1.29456415331902,0.959355695088753,0.0188681302961118,1.77136334933437e-07
"n50_10.15.10.15",10,10,FALSE,FALSE,-1.12981424219452,1.12981424219452,-1.11578742391693,1.11578742391693,-1.11578731872535,1.11578731872534,0.0140269234691737,1.05191588994913e-07
"n50_11.14.10.15",11,10,FALSE,FALSE,-0.965599640880882,1.28042879325689,-0.946721786670317,1.27068168709421,-0.946721689332539,1.27068158841354,0.0188779515483427,9.86806694136533e-08
"n50_12.13.10.15",12,10,FALSE,FALSE,-0.807201154402277,1.43224649209779,-0.784466014664839,1.42596635229854,-0.784465975073299,1.42594052444097,0.0227351793289785,2.58278575688831e-05
"n50_13.12.10.15",13,10,FALSE,FALSE,-0.653271934812463,1.58617660066519,-0.626678449099234,1.58347793663202,-0.626655163939699,1.58346618943762,0.0266167708727636,2.32851595342032e-05
"n50_14.11.10.15",14,10,FALSE,FALSE,-0.501718312168177,1.74431519288887,-0.471256142324993,1.74530607904573,-0.471236870799862,1.74530300523594,0.0304814413683146,1.92715251312592e-05
"n50_15.10.10.15",15,10,FALSE,FALSE,-0.350849116766599,1.90877734277069,-0.316326879216164,1.91380351540992,-0.316305602501307,1.91380312722115,0.034543514265292,2.12767148567439e-05
"n50_16.9.10.15",16,10,FALSE,FALSE,-0.199007555035326,2.08213982405132,-0.159960431185854,2.09185428845262,-0.159960425600582,2.09184942488254,0.0390471294347435,4.86357007778437e-06
"n50_17.8.10.15",17,10,FALSE,FALSE,-0.0444652589298833,2.26771582298681,-0.000158826567661736,2.2832102173417,-0.00015880477339091,2.28319190804589,0.0443064541564924,1.83092958079278e-05
"n50_18.7.10.15",18,10,FALSE,FALSE,0.114694369972542,2.47000082642932,0.165463422689869,2.493002402951,0.165463473476238,2.4930023515417,0.050769103503696,5.14093061454446e-08
"n50_19.6.10.15",19,10,FALSE,FALSE,0.280721202239301,2.6954537136869,0.339851871294606,2.72886574676796,0.339851963335013,2.72886565573284,0.0591307610957127,9.20404073512238e-08
"n50_20.5.10.15",20,10,FALSE,FALSE,0.456390126313154,2.95398147365795,0.526959080826898,3.00271312261015,0.526959217804224,3.00271298893394,0.0705690914910697,1.36977326370413e-07
"n50_21.4.10.15",21,10,FALSE,FALSE,0.645240093892466,3.26205340218814,0.732527182711156,3.33501498246321,0.732527352080488,3.33501480448001,0.0872872581880222,1.77983197513498e-07
"n50_22.3.10.15",22,10,FALSE,FALSE,0.851176051401407,3.64920376340254,0.965716100801582,3.76527919647979,0.965716199344558,3.76527903121682,0.116075267814278,1.65262965978741e-07
"n50_23.2.10.15",23,10,FALSE,FALSE,1.07892153893318,4.18132826146734,1.24308305035659,4.38459734800804,1.24308306375491,4.3845971871875,0.203268925720162,1.60820531114325e-07
"n50_24.1.10.15",24,10,FALSE,FALSE,1.32137294456855,5.04448561643204,1.60107829364567,5.48165755451096,1.60108289583558,5.48165732614726,0.437171709715222,4.60218991205075e-06
"n50_25.0.10.15",25,10,FALSE,FALSE,1.35718911176641,7.28618976436987,2.16201818315231,9.20427895923966,2.16203588859153,9.20427766964409,1.91808790527422,1.77054392174192e-05
"n50_0.25.11.14",0,11,FALSE,FALSE,-6.66171413690409,-0.738592804164831,-8.58174371460507,-1.53850737762313,-8.58174342131071,-1.53853925455532,1.92002928440661,3.18769321825396e-05
"n50_1.24.11.14",1,11,FALSE,FALSE,-4.41874722285265,-0.704156206443716,-4.85566235859972,-0.975496715600529,-4.85566231474002,-0.975503164781023,0.436915091887366,6.44918049386156e-06
"n50_2.23.11.14",2,11,FALSE,FALSE,-3.55513396311393,-0.462604018091958,-3.7551240757877,-0.61612648536359,-3.75512401224719,-0.616126558230747,0.199990049133256,7.28671566418981e-08
"n50_3.22.11.14",3,11,FALSE,FALSE,-3.02284744610863,-0.235671935515803,-3.13273730137316,-0.337760637417189,-3.13273706987082,-0.337760768727189,0.10988962376219,2.31502336855982e-07
"n50_4.21.11.14",4,11,FALSE,FALSE,-2.63475764166538,-0.0297490295555034,-2.6998946289184,-0.103821983964009,-2.69989436346379,-0.103822222132359,0.074073192576856,2.65454612957683e-07
"n50_5.20.11.14",5,11,FALSE,FALSE,-2.32655035109799,0.158736584375826,-2.36547220574472,0.102314798595361,-2.3654719363981,0.102314535768841,0.0564220486069849,2.69346624559574e-07
"n50_6.19.11.14",6,11,FALSE,FALSE,-2.06784780299735,0.334169717455274,-2.08989716146349,0.289850409342676,-2.08989692153735,0.289850173064304,0.0443195443909699,2.39926137624025e-07
"n50_7.18.11.14",7,11,FALSE,FALSE,-1.8422298047528,0.500039000838746,-1.85263306013037,0.464553037103635,-1.85263286367595,0.464552844447239,0.035486156391507,1.96454423395664e-07
"n50_8.17.11.14",8,11,FALSE,FALSE,-1.63980775960545,0.659089211533453,-1.64169206154073,0.630392303144857,-1.64169191156157,0.630392156395945,0.0286970551375078,1.49979163532876e-07
"n50_9.16.11.14",9,11,FALSE,FALSE,-1.45412641701066,0.813554193496576,-1.44944387199777,0.790324863369422,-1.44944376552789,0.790324758883772,0.0232294346128037,1.06469888239147e-07
"n50_10.15.11.14",10,11,FALSE,FALSE,-1.28042879325689,0.965599640880882,-1.27068168709419,0.946721786670312,-1.27068158841355,0.946721689332533,0.0188779515483494,9.86806407698992e-08
"n50_11.14.11.14",11,11,FALSE,FALSE,-1.1161791138237,1.1161791138237,-1.10165659036468,1.10165659036469,-1.10162899521372,1.10162899521373,0.0145501186099726,2.7595150964288e-05
"n50_12.13.11.14",12,11,FALSE,FALSE,-0.958267938327438,1.26745958408508,-0.939400431522152,1.25696114888745,-0.939383874819367,1.25694833789734,0.0188840635080713,1.65567027854419e-05
"n50_13.12.11.14",13,11,FALSE,FALSE,-0.804084924819198,1.42164790799226,-0.781592241688331,1.41458699945057,-0.781580749482907,1.41458339880782,0.0225041753362908,1.14922054238464e-05
